timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1553066341679,119,HTTP Request,200,,Report_ThreadGroup 1-78,text,true,,787,269,7,7,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,119,0,1
1553066341592,245,HTTP Request,200,,Report_ThreadGroup 1-81,text,true,,787,269,6,6,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,244,0,1
1553066341515,369,HTTP Request,200,,Report_ThreadGroup 1-79,text,true,,787,269,6,6,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,369,0,0
1553066341837,114,HTTP Request,200,,Report_ThreadGroup 1-81,text,true,,787,269,6,6,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,114,0,1
1553066341457,604,HTTP Request,200,,Report_ThreadGroup 1-80,text,true,,787,269,6,6,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,604,0,1
1553066341469,740,HTTP Request,200,,Report_ThreadGroup 1-76,text,true,,787,269,7,7,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,739,0,0
1553066342197,134,HTTP Request,200,,Report_ThreadGroup 1-83,text,true,,787,269,7,7,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,133,0,1
1553066341952,439,HTTP Request,200,,Report_ThreadGroup 1-81,text,true,,787,269,7,7,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,439,0,0
1553066341655,914,HTTP Request,200,,Report_ThreadGroup 1-82,text,true,,787,269,7,7,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,914,0,1
1553066342062,543,HTTP Request,200,,Report_ThreadGroup 1-80,text,true,,787,269,7,7,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,543,0,0
1553066341885,765,HTTP Request,200,,Report_ThreadGroup 1-79,text,true,,787,269,7,7,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,765,0,0
1553066342209,488,HTTP Request,200,,Report_ThreadGroup 1-76,text,true,,787,269,7,7,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,487,0,1
1553066342391,321,HTTP Request,200,,Report_ThreadGroup 1-81,text,true,,787,269,6,6,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,321,0,1
1553066341559,1163,HTTP Request,200,,Report_ThreadGroup 1-77,text,true,,787,269,6,6,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,1163,0,1
1553066342331,401,HTTP Request,200,,Report_ThreadGroup 1-83,text,true,,787,269,6,6,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,400,0,1
1553066342651,226,HTTP Request,200,,Report_ThreadGroup 1-79,text,true,,787,269,6,6,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,225,0,0
1553066342723,198,HTTP Request,200,,Report_ThreadGroup 1-77,text,true,,787,269,5,5,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,198,0,0
1553066342712,262,HTTP Request,200,,Report_ThreadGroup 1-81,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,261,0,1
1553066342569,422,HTTP Request,200,,Report_ThreadGroup 1-82,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,422,0,1
1553066342605,480,HTTP Request,200,,Report_ThreadGroup 1-80,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,470,0,1
1553066342732,417,HTTP Request,200,,Report_ThreadGroup 1-83,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,417,0,1
1553066342991,204,HTTP Request,200,,Report_ThreadGroup 1-82,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,204,0,1
1553066343195,139,HTTP Request,200,,Report_ThreadGroup 1-82,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,139,0,1
1553066343149,224,HTTP Request,200,,Report_ThreadGroup 1-83,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,224,0,1
1553066343085,339,HTTP Request,200,,Report_ThreadGroup 1-80,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,339,0,0
